scenario_code,carrier,region,year,value_pj,value_twh
ATS,electricity,Brunei,2005,9.493347,2.637041
ATS,electricity,Brunei,2006,9.07486,2.520794
ATS,electricity,Brunei,2007,9.702206,2.695057
ATS,electricity,Brunei,2008,10.078632,2.79962
ATS,electricity,Brunei,2009,10.455444,2.90429
ATS,electricity,Brunei,2010,10.790196,2.997277
ATS,electricity,Brunei,2011,10.957475,3.043743
ATS,electricity,Brunei,2012,10.957283,3.04369
ATS,electricity,Brunei,2013,11.04073,3.066869
ATS,electricity,Brunei,2014,12.042962,3.345267
ATS,electricity,Brunei,2015,12.252109,3.403364
ATS,electricity,Brunei,2016,11.712577,3.253494
ATS,electricity,Brunei,2017,12.727013,3.535281
ATS,electricity,Brunei,2018,13.250629,3.68073
ATS,electricity,Brunei,2019,15.479181,4.299773
ATS,electricity,Brunei,2020,18.571317,5.158699
ATS,electricity,Brunei,2021,18.692858,5.192461
ATS,electricity,Brunei,2022,17.647035,4.901954
ATS,electricity,Brunei,2023,17.321182,4.811439
ATS,electricity,Brunei,2024,15.957259,4.432572
ATS,electricity,Brunei,2025,18.053633,5.014898
ATS,electricity,Brunei,2026,17.327235,4.813121
ATS,electricity,Brunei,2027,16.491625,4.581007
ATS,electricity,Brunei,2028,15.615057,4.337516
ATS,electricity,Brunei,2029,14.7064,4.085111
ATS,electricity,Brunei,2030,14.161969,3.93388
ATS,electricity,Brunei,2031,13.990645,3.88629
ATS,electricity,Brunei,2032,13.737445,3.815957
ATS,electricity,Brunei,2033,13.540798,3.761333
ATS,electricity,Brunei,2034,13.335734,3.704371
ATS,electricity,Brunei,2035,13.08792,3.635533
ATS,electricity,Brunei,2036,13.000493,3.611248
ATS,electricity,Brunei,2037,12.863954,3.573321
ATS,electricity,Brunei,2038,12.838827,3.566341
ATS,electricity,Brunei,2039,12.818321,3.560645
ATS,electricity,Brunei,2040,12.793426,3.553729
ATS,electricity,Brunei,2041,12.782673,3.550742
ATS,electricity,Brunei,2042,12.817549,3.56043
ATS,electricity,Brunei,2043,12.805794,3.557165
ATS,electricity,Brunei,2044,12.790617,3.552949
ATS,electricity,Brunei,2045,12.778404,3.549557
ATS,electricity,Brunei,2046,12.792476,3.553466
ATS,electricity,Brunei,2047,12.754474,3.542909
ATS,electricity,Brunei,2048,12.744202,3.540056
ATS,electricity,Brunei,2049,12.68198,3.522772
ATS,electricity,Brunei,2050,12.614067,3.503908
ATS,electricity,Brunei,2051,12.57643,3.493453
ATS,electricity,Brunei,2052,12.527774,3.479937
ATS,electricity,Brunei,2053,12.489645,3.469346
ATS,electricity,Brunei,2054,12.44675,3.457431
ATS,electricity,Brunei,2055,12.397389,3.443719
ATS,electricity,Brunei,2056,12.372884,3.436912
ATS,electricity,Brunei,2057,12.370595,3.436276
