scenario_code,sector,region,year,value_pj,value_twh
ATS,Agriculture and Others,Brunei,2017,1.047956,0.291099
ATS,Agriculture and Others,Brunei,2018,1.258552,0.349598
ATS,Agriculture and Others,Brunei,2019,1.646668,0.457408
ATS,Agriculture and Others,Brunei,2020,0.675331,0.187592
ATS,Agriculture and Others,Cambodia,2005,1.130436,0.31401
ATS,Agriculture and Others,Cambodia,2006,1.214172,0.33727
ATS,Agriculture and Others,Cambodia,2007,1.297908,0.36053
ATS,Agriculture and Others,Cambodia,2008,1.423512,0.39542
ATS,Agriculture and Others,Cambodia,2009,1.507248,0.41868
ATS,Agriculture and Others,Cambodia,2010,1.632852,0.45357
ATS,Agriculture and Others,Cambodia,2011,2.219004,0.61639
ATS,Agriculture and Others,Cambodia,2012,1.800324,0.50009
ATS,Agriculture and Others,Cambodia,2013,1.88406,0.52335
ATS,Agriculture and Others,Cambodia,2014,2.009664,0.55824
ATS,Agriculture and Others,Cambodia,2015,2.219004,0.61639
ATS,Agriculture and Others,Cambodia,2016,2.386476,0.66291
ATS,Agriculture and Others,Cambodia,2017,2.595816,0.72106
ATS,Agriculture and Others,Cambodia,2018,2.763288,0.76758
ATS,Agriculture and Others,Cambodia,2019,3.388377,0.941216
ATS,Agriculture and Others,Cambodia,2020,9.222264,2.56174
ATS,Agriculture and Others,Cambodia,2021,8.992828,2.498008
ATS,Agriculture and Others,Cambodia,2022,7.955339,2.209816
ATS,Agriculture and Others,Cambodia,2023,7.599879,2.111077
ATS,Agriculture and Others,Cambodia,2024,7.599879,2.111077
ATS,Agriculture and Others,Cambodia,2025,8.055864,2.23774
ATS,Agriculture and Others,Cambodia,2026,8.546621,2.374061
ATS,Agriculture and Others,Cambodia,2027,9.05541,2.515392
ATS,Agriculture and Others,Cambodia,2028,9.577324,2.660368
ATS,Agriculture and Others,Cambodia,2029,10.104143,2.806706
ATS,Agriculture and Others,Cambodia,2030,10.194849,2.831902
ATS,Agriculture and Others,Cambodia,2031,10.474573,2.909604
ATS,Agriculture and Others,Cambodia,2032,10.762024,2.989451
ATS,Agriculture and Others,Cambodia,2033,11.057325,3.071479
ATS,Agriculture and Others,Cambodia,2034,11.360722,3.155756
ATS,Agriculture and Others,Cambodia,2035,11.672459,3.24235
ATS,Agriculture and Others,Cambodia,2036,11.996769,3.332436
ATS,Agriculture and Others,Cambodia,2037,12.330033,3.425009
ATS,Agriculture and Others,Cambodia,2038,12.672496,3.520138
ATS,Agriculture and Others,Cambodia,2039,13.024588,3.617941
ATS,Agriculture and Others,Cambodia,2040,13.386371,3.718436
ATS,Agriculture and Others,Cambodia,2041,13.74895,3.819153
ATS,Agriculture and Others,Cambodia,2042,14.121281,3.922578
ATS,Agriculture and Others,Cambodia,2043,14.503731,4.028814
ATS,Agriculture and Others,Cambodia,2044,14.896546,4.137929
ATS,Agriculture and Others,Cambodia,2045,15.299971,4.249992
ATS,Agriculture and Others,Cambodia,2046,15.688063,4.357795
ATS,Agriculture and Others,Cambodia,2047,16.085969,4.468325
ATS,Agriculture and Others,Cambodia,2048,16.493932,4.581648
ATS,Agriculture and Others,Cambodia,2049,16.91226,4.69785
ATS,Agriculture and Others,Cambodia,2050,17.341198,4.816999
ATS,Agriculture and Others,Cambodia,2051,17.781015,4.939171
ATS,Agriculture and Others,Cambodia,2052,18.231986,5.064441
ATS,Agriculture and Others,Cambodia,2053,18.694396,5.192888
ATS,Agriculture and Others,Cambodia,2054,19.168533,5.324592
ATS,Agriculture and Others,Cambodia,2055,19.654696,5.459638
ATS,Agriculture and Others,Cambodia,2056,20.153189,5.598108
ATS,Agriculture and Others,Cambodia,2057,20.664325,5.74009
ATS,Agriculture and Others,Cambodia,2058,21.188425,5.885674
ATS,Agriculture and Others,Cambodia,2059,21.725817,6.034949
ATS,Agriculture and Others,Cambodia,2060,22.276839,6.188011
ATS,Agriculture and Others,Indonesia,2005,166.191663,46.164351
ATS,Agriculture and Others,Indonesia,2006,148.121091,41.144748
ATS,Agriculture and Others,Indonesia,2007,144.403151,40.111986
ATS,Agriculture and Others,Indonesia,2008,143.162426,39.767341
ATS,Agriculture and Others,Indonesia,2009,144.437483,40.121523
ATS,Agriculture and Others,Indonesia,2010,127.579332,35.438703
ATS,Agriculture and Others,Indonesia,2011,155.44793,43.179981
ATS,Agriculture and Others,Indonesia,2012,192.508813,53.47467
ATS,Agriculture and Others,Indonesia,2013,177.630535,49.341815
ATS,Agriculture and Others,Indonesia,2014,163.86549,45.518192
ATS,Agriculture and Others,Indonesia,2015,187.519655,52.088793
ATS,Agriculture and Others,Indonesia,2016,116.460448,32.350124
ATS,Agriculture and Others,Indonesia,2017,119.013139,33.059205
ATS,Agriculture and Others,Indonesia,2018,91.943802,25.539945
ATS,Agriculture and Others,Indonesia,2019,67.286482,18.690689
ATS,Agriculture and Others,Indonesia,2020,59.002898,16.389694
ATS,Agriculture and Others,Indonesia,2021,61.608762,17.113545
ATS,Agriculture and Others,Indonesia,2022,63.179855,17.54996
ATS,Agriculture and Others,Indonesia,2023,62.242858,17.289683
ATS,Agriculture and Others,Indonesia,2024,67.084426,18.634563
ATS,Agriculture and Others,Indonesia,2025,70.6399,19.622194
ATS,Agriculture and Others,Indonesia,2026,75.090214,20.858393
ATS,Agriculture and Others,Indonesia,2027,80.72198,22.422772
ATS,Agriculture and Others,Indonesia,2028,86.937573,24.149326
ATS,Agriculture and Others,Indonesia,2029,93.892579,26.081272
ATS,Agriculture and Others,Indonesia,2030,101.403985,28.167774
ATS,Agriculture and Others,Indonesia,2031,109.617707,30.449363
ATS,Agriculture and Others,Indonesia,2032,118.606359,32.946211
ATS,Agriculture and Others,Indonesia,2033,128.450687,35.680746
