scenario_code,sector,subsector,region,year,value_pj,value_twh
ATS,Agriculture and Others,Biodiesel,Philippines,2007,0.037796,0.010499
ATS,Agriculture and Others,Biodiesel,Philippines,2008,0.078842,0.021901
ATS,Agriculture and Others,Biodiesel,Philippines,2009,0.159541,0.044317
ATS,Agriculture and Others,Biodiesel,Philippines,2010,0.165669,0.046019
ATS,Agriculture and Others,Biodiesel,Philippines,2011,0.056887,0.015802
ATS,Agriculture and Others,Biodiesel,Philippines,2012,0.139854,0.038848
ATS,Agriculture and Others,Biodiesel,Philippines,2013,0.150391,0.041775
ATS,Agriculture and Others,Biodiesel,Philippines,2014,0.140734,0.039093
ATS,Agriculture and Others,Biodiesel,Philippines,2015,0.157648,0.043791
ATS,Agriculture and Others,Biodiesel,Philippines,2016,0.173503,0.048195
ATS,Agriculture and Others,Biodiesel,Philippines,2017,0.224515,0.062365
ATS,Agriculture and Others,Biodiesel,Philippines,2018,0.161947,0.044985
ATS,Agriculture and Others,Biodiesel,Philippines,2019,0.175767,0.048824
ATS,Agriculture and Others,Biodiesel,Philippines,2020,0.164305,0.04564
ATS,Agriculture and Others,Biodiesel,Philippines,2021,0.186286,0.051746
ATS,Agriculture and Others,Biodiesel,Philippines,2022,0.099791,0.02772
ATS,Agriculture and Others,Biodiesel,Philippines,2023,0.106106,0.029474
ATS,Agriculture and Others,Biodiesel,Philippines,2024,0.106106,0.029474
ATS,Agriculture and Others,Biodiesel,Philippines,2025,0.112684,0.031301
ATS,Agriculture and Others,Biodiesel,Philippines,2026,0.119656,0.033238
ATS,Agriculture and Others,Biodiesel,Philippines,2027,0.127214,0.035337
ATS,Agriculture and Others,Biodiesel,Philippines,2028,0.135259,0.037572
ATS,Agriculture and Others,Biodiesel,Philippines,2029,0.143913,0.039976
ATS,Agriculture and Others,Biodiesel,Philippines,2030,0.15102,0.04195
ATS,Agriculture and Others,Biodiesel,Philippines,2031,0.158423,0.044006
ATS,Agriculture and Others,Biodiesel,Philippines,2032,0.167306,0.046474
ATS,Agriculture and Others,Biodiesel,Philippines,2033,0.174708,0.04853
ATS,Agriculture and Others,Biodiesel,Philippines,2034,0.183592,0.050998
ATS,Agriculture and Others,Biodiesel,Philippines,2035,0.190995,0.053054
ATS,Agriculture and Others,Biodiesel,Philippines,2036,0.199878,0.055522
ATS,Agriculture and Others,Biodiesel,Philippines,2037,0.208762,0.057989
ATS,Agriculture and Others,Biodiesel,Philippines,2038,0.217646,0.060457
ATS,Agriculture and Others,Biodiesel,Philippines,2039,0.22801,0.063336
ATS,Agriculture and Others,Biodiesel,Philippines,2040,0.236893,0.065804
ATS,Agriculture and Others,Biodiesel,Philippines,2041,0.247258,0.068683
ATS,Agriculture and Others,Biodiesel,Philippines,2042,0.257621,0.071561
ATS,Agriculture and Others,Biodiesel,Philippines,2043,0.267985,0.07444
ATS,Agriculture and Others,Biodiesel,Philippines,2044,0.278349,0.077319
ATS,Agriculture and Others,Biodiesel,Philippines,2045,0.288713,0.080198
ATS,Agriculture and Others,Biodiesel,Philippines,2046,0.299078,0.083077
ATS,Agriculture and Others,Biodiesel,Philippines,2047,0.310922,0.086367
ATS,Agriculture and Others,Biodiesel,Philippines,2048,0.322767,0.089658
ATS,Agriculture and Others,Biodiesel,Philippines,2049,0.333131,0.092536
ATS,Agriculture and Others,Biodiesel,Philippines,2050,0.344976,0.095827
ATS,Agriculture and Others,Biodiesel,Philippines,2051,0.357242,0.099234
ATS,Agriculture and Others,Biodiesel,Philippines,2052,0.369944,0.102762
ATS,Agriculture and Others,Biodiesel,Philippines,2053,0.383097,0.106416
ATS,Agriculture and Others,Biodiesel,Philippines,2054,0.396719,0.1102
ATS,Agriculture and Others,Biodiesel,Philippines,2055,0.410825,0.114118
ATS,Agriculture and Others,Biodiesel,Philippines,2056,0.425432,0.118176
ATS,Agriculture and Others,Biodiesel,Philippines,2057,0.440558,0.122377
ATS,Agriculture and Others,Biodiesel,Philippines,2058,0.456223,0.126729
ATS,Agriculture and Others,Biodiesel,Philippines,2059,0.472444,0.131234
ATS,Agriculture and Others,Biodiesel,Philippines,2060,0.489243,0.135901
ATS,Agriculture and Others,Coal Unspecified,Vietnam,2005,0.920158,0.255599
ATS,Agriculture and Others,Coal Unspecified,Vietnam,2006,0.921929,0.256091
ATS,Agriculture and Others,Coal Unspecified,Vietnam,2007,0.878705,0.244085
ATS,Agriculture and Others,Coal Unspecified,Vietnam,2008,0.921619,0.256005
ATS,Agriculture and Others,Coal Unspecified,Vietnam,2009,2.10864,0.585733
ATS,Agriculture and Others,Coal Unspecified,Vietnam,2010,0.837779,0.232716
ATS,Agriculture and Others,Coal Unspecified,Vietnam,2011,0.83736,0.2326
ATS,Agriculture and Others,Coal Unspecified,Vietnam,2012,0.752946,0.209152
ATS,Agriculture and Others,Coal Unspecified,Vietnam,2013,0.880032,0.244453
ATS,Agriculture and Others,Coal Unspecified,Vietnam,2014,0.836837,0.232455
ATS,Agriculture and Others,Coal Unspecified,Vietnam,2015,1.045369,0.29038
ATS,Agriculture and Others,Coal Unspecified,Vietnam,2016,0.54227,0.150631
ATS,Agriculture and Others,Coal Unspecified,Vietnam,2017,0.543128,0.150869
ATS,Agriculture and Others,Diesel,Brunei,2017,1.047956,0.291099
ATS,Agriculture and Others,Diesel,Brunei,2018,1.258552,0.349598
ATS,Agriculture and Others,Diesel,Brunei,2019,1.646668,0.457408
ATS,Agriculture and Others,Diesel,Brunei,2020,0.675331,0.187592
ATS,Agriculture and Others,Diesel,Cambodia,2005,1.130436,0.31401
ATS,Agriculture and Others,Diesel,Cambodia,2006,1.214172,0.33727
ATS,Agriculture and Others,Diesel,Cambodia,2007,1.297908,0.36053
ATS,Agriculture and Others,Diesel,Cambodia,2008,1.423512,0.39542
ATS,Agriculture and Others,Diesel,Cambodia,2009,1.507248,0.41868
ATS,Agriculture and Others,Diesel,Cambodia,2010,1.632852,0.45357
ATS,Agriculture and Others,Diesel,Cambodia,2011,2.219004,0.61639
ATS,Agriculture and Others,Diesel,Cambodia,2012,1.800324,0.50009
ATS,Agriculture and Others,Diesel,Cambodia,2013,1.88406,0.52335
ATS,Agriculture and Others,Diesel,Cambodia,2014,2.009664,0.55824
ATS,Agriculture and Others,Diesel,Cambodia,2015,2.219004,0.61639
ATS,Agriculture and Others,Diesel,Cambodia,2016,2.386476,0.66291
ATS,Agriculture and Others,Diesel,Cambodia,2017,2.595816,0.72106
ATS,Agriculture and Others,Diesel,Cambodia,2018,2.763288,0.76758
ATS,Agriculture and Others,Diesel,Cambodia,2019,3.388377,0.941216
ATS,Agriculture and Others,Diesel,Cambodia,2020,9.222264,2.56174
ATS,Agriculture and Others,Diesel,Cambodia,2021,8.992828,2.498008
ATS,Agriculture and Others,Diesel,Cambodia,2022,7.955339,2.209816
ATS,Agriculture and Others,Diesel,Cambodia,2023,7.599879,2.111077
ATS,Agriculture and Others,Diesel,Cambodia,2024,7.599879,2.111077
ATS,Agriculture and Others,Diesel,Cambodia,2025,8.055864,2.23774
